user,rojo,crawl,stuber,thefarewell,bethanyhamiton
1000mChicago,0,0,0,0,0
14aql,0,0,0,0,0
1Ringbone,0,0,0,0,0
2000stones,0,0,0,0,0
24HorasTVN,4,0,0,0,0
25_itu,0,0,0,0,0
3on1pod,0,0,0,0,0
4mas1familia,0,0,0,0,0
59_cu,0,0,0,0,0
7278f2,0,0,0,0,0
ACwishtv,0,0,0,0,0
AEWrestling,0,0,0,0,0
AGUCDMX,2,0,0,0,0
AHeavyMetalPen,0,0,0,0,0
ANGELAWHITE,0,0,0,0,0
APASomething,0,0,0,0,0
ASIFaasi0786,0,0,0,0,0
A_Safe_Haven,0,0,0,0,0
Abigail81974114,0,0,0,0,0
AboutTheMafia,0,0,0,0,0
AbsLmj,0,0,0,0,0
AcidhaloTTV,0,0,0,0,0
AdamSomers19,0,0,0,0,0
AdventuresTrip1,0,0,0,0,0
AfterLastJedi,0,0,0,0,0
AgentBertram,0,0,0,0,0
AlMakto74625679,0,0,0,0,0
Alanis,0,0,0,0,0
AlexWoodrow7,0,0,0,0,0
Alex_OxChambo,0,0,0,0,0
AliHassanMorad,0,0,0,0,0
AllThingsMakeu6,0,0,0,0,0
AlliCinema,0,0,0,0,0
AlphaOmegaSin,0,0,0,0,0
Amandaxoxo20,0,0,0,0,0
AmayaNYC,0,0,0,0,0
Amber87193446,0,0,0,0,0
AmigosPC,0,0,0,0,0
Andrew_G_Dick,0,0,0,0,0
AnimeTherapy,0,0,0,0,0
Animok_Tv,0,0,0,0,0
Applebees,0,0,0,0,0
AriAster,0,0,0,0,0
ArtHubMedia,0,0,0,0,0
AshleyMova,0,0,0,0,0
AstralColt,0,0,0,0,0
AutomationDsgn,0,0,0,0,0
Ayoutii94,0,0,0,0,0
AzMutant,0,0,0,0,0
BAMoviePodcast,0,0,0,0,0
BTS_twt,0,0,0,0,0
BTWFoundation,0,0,0,0,0
BadNewsBerrios,0,0,0,0,0
BaronVnFlanagan,0,0,0,0,0
BazarFUSION,0,0,0,0,0
Benfulkman99,0,0,0,0,0
BigBadBurlyBob,0,0,0,0,0
BigDMensah,0,0,0,0,0
BlackDouglas_S,0,0,0,0,0
BlackLadySketch,0,0,0,0,0
BluntCatBitch,0,0,0,0,0
BobSpiritwalker,0,0,0,0,0
BonjourOldSport,0,0,0,1,0
Bosslogic,0,0,0,0,0
BottomsUpBeer,0,0,0,0,0
Breyers,0,0,0,0,0
BrianFormo,0,0,0,0,0
Broncos,0,0,0,0,0
BrookReadingPod,0,0,0,0,0
BrowsLip,0,0,0,0,0
BryceBuffaloe,0,0,0,0,0
Buckland_88,0,0,0,0,0
Bujassimkw,0,0,0,0,0
Bunker15Films,0,0,0,0,0
BurgerKing,0,0,0,0,0
BurnettRM,1,0,0,0,0
BusyPhilipps,0,0,0,0,0
CB_writerrr,0,0,0,0,0
CHAINES_MUSIC,0,0,0,0,0
CNCOmusic,0,0,0,0,0
CabooseEK,0,0,0,0,0
Caissie,0,0,0,0,0
CakeBowen,0,0,0,0,0
CaliDreaming89,0,0,0,0,0
CaraMarieLunn,0,0,0,0,0
Casanvar,0,0,0,0,0
Casey,0,0,0,0,0
ChamoliShradha,0,0,0,0,0
Charalanahzard,0,0,0,0,0
ChaseMontavon,0,0,0,0,0
Cheesecake,0,0,0,0,0
Chibuike210,0,0,0,0,0
ChickfilA,0,0,0,0,0
ChrisEvans,0,0,0,0,0
Christian24L,0,0,0,0,0
ChristinaRadish,0,0,0,0,0
CineRik,0,0,0,0,0
CinetecaMexico,0,0,0,0,0
CinnamonGhoul,0,0,0,0,0
Cliamaya,0,0,0,0,0
CoachGusMalzahn,0,0,0,0,0
ColtonHerta,0,0,0,0,0
ComplexMusic,0,0,0,0,0
ConFilmBuff,0,0,0,0,0
Connellybooks,0,0,0,0,0
Contentfulness,0,0,0,0,0
CorbanWilliams3,0,0,0,0,0
Corey_Pieper,0,0,0,0,0
CornOfCoblin,0,0,0,0,0
CreationEnt,0,0,0,0,0
CrookedMarquee,0,0,0,0,0
CrossIntl,0,0,0,0,0
CudaChick1968,0,0,0,0,0
CulturaCiudadMx,0,0,0,0,0
CulturaColectiv,0,0,0,0,0
CulturaUNAM,0,0,0,0,0
CupheadShow,0,0,0,0,0
DCFUnited,0,0,0,0,0
DDAYPUPPYFACE,0,0,0,0,0
DGPurser,0,0,0,0,0
DONDEIRweb,1,0,0,0,0
DaleyReview,0,0,0,0,0
DanielRPK,0,0,0,0,0
DaveBautista,0,0,17,0,0
DaveVance34,0,0,0,0,0
DawnaLeeHeising,0,0,0,0,0
DebbyRyan,0,0,0,0,0
DennisInWarren,0,0,0,0,0
DiegoBoggioni,0,0,0,0,0
